,number,closed,created,closedAt,openedBy,labels
522,1573,True,2019-09-09 12:05:10+00:00,2020-06-29 04:50:31+00:00,mkpoli,Script-LatinGreekCyrillic
523,1572,False,2019-09-03 14:56:28+00:00,,ijaradnam,Script-Siddham
524,1571,False,2019-08-30 22:50:47+00:00,,iwsfutcmd,Script-Tifinagh
525,1570,False,2019-08-26 00:53:23+00:00,,verdy-p,"Script-Syriac,in-evaluation"
526,1569,True,2019-08-25 21:22:46+00:00,2019-08-28 17:47:26+00:00,david-young-fax,
527,1568,False,2019-08-24 00:19:41+00:00,,verdy-p,Component-Website
528,1567,True,2019-08-18 09:50:57+00:00,2019-09-27 05:14:08+00:00,ghost,Script-OldHungarian
529,1566,False,2019-08-01 07:52:10+00:00,,KazunariTsuboi,Platform-Windows
530,1565,False,2019-07-31 23:41:49+00:00,,avitaleli,"Script-Hebrew,in-evaluation,merge-fonts"
531,1564,True,2019-07-26 12:45:31+00:00,2019-07-30 10:21:28+00:00,robinwhittleton,
532,1563,False,2019-07-22 18:02:01+00:00,,Sagir8453,"Script-Siddham,in-evaluation"
533,1562,False,2019-07-20 09:02:04+00:00,,verdy-p,"Script-Symbol,in-evaluation"
534,1561,False,2019-07-20 06:53:10+00:00,,verdy-p,Noto-Process-Issue
535,1560,True,2019-07-19 12:51:14+00:00,2019-07-23 21:02:10+00:00,ashakoshti1988,
536,1559,True,2019-07-15 20:13:20+00:00,2019-12-04 19:09:32+00:00,mrg0lden,Script-Arabic
537,1558,False,2019-07-12 20:04:44+00:00,,CJLippert,Script-CanadianAboriginal
538,1557,False,2019-07-12 14:56:23+00:00,,kmuncie,"Script-LatinGreekCyrillic,in-evaluation"
539,1556,False,2019-07-11 05:59:06+00:00,,KazunariTsuboi,Script-Mongolian
540,1555,True,2019-07-10 18:27:58+00:00,2020-10-28 05:26:44+00:00,kmuncie,"Priority-High,Sans,Script-Arabic"
541,1554,False,2019-07-09 09:39:18+00:00,,mhosken,Script-Myanmar
542,1553,False,2019-07-09 01:36:53+00:00,,verdy-p,"Script-LatinGreekCyrillic,in-evaluation"
543,1552,False,2019-07-07 12:19:06+00:00,,dscorbett,Script-Chakma
544,1551,False,2019-07-07 11:36:28+00:00,,sridatta1,"Script-Devanagari,in-evaluation"
545,1550,False,2019-07-05 03:56:45+00:00,,dscorbett,Script-Manichaean
546,1549,False,2019-07-04 02:28:45+00:00,,dscorbett,Script-Myanmar
547,1548,True,2019-07-04 02:28:31+00:00,2020-03-10 18:39:50+00:00,KazunariTsuboi,Script-Gujarati
548,1547,False,2019-07-03 22:28:23+00:00,,cssobral2013,"Script-LatinGreekCyrillic,in-evaluation"
549,1546,False,2019-07-02 16:44:26+00:00,,dscorbett,Script-Chakma
550,1545,True,2019-07-02 13:23:53+00:00,2020-01-23 01:30:17+00:00,jthomerson,
551,1544,False,2019-07-01 19:19:51+00:00,,dscorbett,Script-Chakma
552,1543,True,2019-06-30 17:52:41+00:00,2020-02-06 10:43:07+00:00,khaledhosny,Script-Tibetan
553,1542,True,2019-06-29 08:30:04+00:00,2020-06-12 03:34:24+00:00,mdqara,"Platform-Windows,Script-Arabic,app-dependent-behavior"
554,1541,False,2019-06-28 14:46:37+00:00,,dscorbett,Script-Lepcha
555,1540,True,2019-06-28 00:53:17+00:00,2020-06-23 01:16:26+00:00,KazunariTsuboi,Script-Tibetan
556,1539,False,2019-06-28 00:36:38+00:00,,KazunariTsuboi,"Platform-Windows,Script-Tibetan"
557,1538,False,2019-06-26 02:28:04+00:00,,dscorbett,"Script-HanifiRohingya,design-question"
558,1537,True,2019-06-25 00:26:54+00:00,2020-03-10 18:44:01+00:00,KazunariTsuboi,Script-Gujarati
559,1536,False,2019-06-21 01:22:09+00:00,,dscorbett,Script-Myanmar
560,1535,False,2019-06-19 19:49:44+00:00,,dscorbett,Script-Myanmar
561,1534,False,2019-06-19 07:36:56+00:00,,KazunariTsuboi,"Script-Gujarati,in-evaluation"
562,1533,True,2019-06-19 06:10:31+00:00,2019-06-30 14:24:36+00:00,KazunariTsuboi,"Script-LatinGreekCyrillic,Script-Monospace"
563,1532,True,2019-06-19 00:28:26+00:00,2020-06-25 20:07:28+00:00,jungshik,Script-Tamil
564,1531,False,2019-06-18 12:56:27+00:00,,dscorbett,Script-Myanmar
565,1530,False,2019-06-17 14:44:26+00:00,,dscorbett,Script-Myanmar
566,1529,False,2019-06-16 14:20:41+00:00,,dscorbett,"Script-Tibetan,wrong glyph(s)"
567,1528,False,2019-06-15 19:39:45+00:00,,dscorbett,Script-Tibetan
568,1527,False,2019-06-14 12:06:39+00:00,,dscorbett,Script-Tibetan
569,1526,False,2019-06-13 10:55:58+00:00,,mdqara,"Platform-Windows,Script-Arabic,Status-Unreproducible,app-dependent-behavior"
570,1525,False,2019-06-11 13:24:05+00:00,,dscorbett,Script-Myanmar
571,1524,False,2019-06-10 15:06:08+00:00,,dscorbett,"Script-Myanmar,wrong glyph(s)"
572,1523,False,2019-06-09 12:52:51+00:00,,dscorbett,Script-Myanmar
573,1522,False,2019-06-06 13:08:10+00:00,,dscorbett,Script-Siddham
574,1521,False,2019-06-05 18:18:57+00:00,,dscorbett,Script-Siddham
575,1520,False,2019-06-04 16:17:33+00:00,,dscorbett,Script-Siddham
576,1519,False,2019-06-03 12:55:10+00:00,,dscorbett,Script-Siddham
577,1518,False,2019-06-01 14:40:35+00:00,,dscorbett,Script-Balinese
578,1517,True,2019-05-26 07:28:47+00:00,2021-02-12 04:19:44+00:00,jungshik,Noto-Process-Issue
579,1516,False,2019-05-22 23:50:48+00:00,,dscorbett,"Script-Math,in-evaluation"
580,1515,False,2019-05-22 23:48:36+00:00,,jungshik,Other-Defect
581,1514,True,2019-05-19 16:36:32+00:00,2019-05-22 04:10:14+00:00,thammarith,"Platform-Windows,Script-Thai,app-dependent-behavior"
582,1513,True,2019-05-19 16:34:39+00:00,2019-07-23 13:41:25+00:00,Azzert,Script-LatinGreekCyrillic
583,1512,False,2019-05-18 22:27:49+00:00,,dscorbett,Script-Newa
584,1511,False,2019-05-17 16:26:55+00:00,,dscorbett,Script-Newa
585,1510,True,2019-05-14 10:10:59+00:00,2019-06-21 23:38:31+00:00,lyvrus,"Script-LatinGreekCyrillic,Type-Enhancement"
586,1509,True,2019-05-12 07:25:08+00:00,2019-07-05 06:41:55+00:00,ghost,"Other-Enhancement,Script-OldHungarian"
587,1508,False,2019-05-11 15:47:51+00:00,,cssobral2013,Other-Enhancement
588,1507,False,2019-05-10 16:49:44+00:00,,dscorbett,Script-Tirhuta
589,1506,False,2019-05-06 15:52:42+00:00,,dscorbett,Script-Balinese
590,1505,False,2019-05-06 00:07:53+00:00,,dscorbett,Script-Syriac
591,1504,False,2019-05-04 14:30:45+00:00,,dscorbett,Script-Mandaic
592,1503,False,2019-05-03 15:52:06+00:00,,dscorbett,Script-Tangut
593,1502,False,2019-05-02 18:43:17+00:00,,sven-oly,Script-Adlam
594,1501,True,2019-05-02 18:36:50+00:00,2020-09-25 05:35:38+00:00,sven-oly,Script-Adlam
595,1500,False,2019-05-02 15:39:01+00:00,,dscorbett,Script-MeeteiMayek
596,1499,True,2019-05-02 01:32:04+00:00,2020-06-30 05:11:55+00:00,alercah,Script-LatinGreekCyrillic
597,1498,False,2019-05-01 14:30:00+00:00,,dscorbett,Script-Saurashtra
598,1497,False,2019-04-30 13:37:33+00:00,,dscorbett,Script-Phagspa
599,1496,True,2019-04-30 12:46:02+00:00,2020-06-30 05:54:57+00:00,Kogurex,"Script-LatinGreekCyrillic,Script-Monospace"
600,1495,False,2019-04-29 14:04:56+00:00,,dscorbett,Script-MeeteiMayek
601,1494,False,2019-04-29 05:39:53+00:00,,jhuits,Script-LatinGreekCyrillic
602,1493,False,2019-04-28 16:31:59+00:00,,dscorbett,Script-Saurashtra
603,1492,False,2019-04-27 14:39:38+00:00,,dscorbett,Script-Syriac
604,1491,True,2019-04-26 13:01:42+00:00,2019-08-28 21:08:19+00:00,dscorbett,Script-KayahLi
605,1490,False,2019-04-25 15:18:13+00:00,,dscorbett,Script-Myanmar
606,1489,False,2019-04-24 13:58:08+00:00,,dscorbett,Script-Tirhuta
607,1488,False,2019-04-23 13:58:42+00:00,,dscorbett,Script-Myanmar
608,1487,False,2019-04-22 14:18:11+00:00,,dscorbett,"Script-Ahom,in-evaluation"
609,1486,False,2019-04-21 13:54:36+00:00,,dscorbett,Script-Myanmar
610,1485,True,2019-04-21 08:11:01+00:00,2019-04-21 08:29:01+00:00,ghost,
611,1484,True,2019-04-20 16:42:26+00:00,2020-06-25 21:11:11+00:00,dscorbett,Script-Ahom
612,1483,True,2019-04-19 14:06:12+00:00,2020-06-25 21:16:43+00:00,dscorbett,Script-Ahom
613,1482,False,2019-04-18 17:59:53+00:00,,dscorbett,"Script-Ahom,in-evaluation"
614,1481,True,2019-04-18 15:27:54+00:00,2019-04-18 17:34:05+00:00,Ronser,"*multiScriptFontNeeded,Script-Arabic"
615,1480,False,2019-04-12 08:22:54+00:00,,GPodkolzin,"Script-Hebrew,app-dependent-behavior"
616,1479,False,2019-04-10 23:30:35+00:00,,dlevineBC,"Script-LatinGreekCyrillic,design-question,in-evaluation"
617,1478,True,2019-04-10 20:54:42+00:00,2020-07-01 22:05:55+00:00,dlevineBC,Script-LatinGreekCyrillic
618,1477,False,2019-04-08 17:52:03+00:00,,E-train-Liu,"Platform-Windows,Script-LatinGreekCyrillic,Script-Monospace,app-dependent-behavior,in-evaluation"
619,1476,False,2019-03-25 03:02:37+00:00,,NorbertLindenberg,Script-Javanese
620,1475,False,2019-03-25 02:50:51+00:00,,NorbertLindenberg,Script-Javanese
621,1474,False,2019-03-25 02:40:11+00:00,,NorbertLindenberg,Script-Javanese
622,1473,False,2019-03-25 02:27:30+00:00,,NorbertLindenberg,Script-Javanese
623,1472,False,2019-03-24 19:48:57+00:00,,Sagir8453,"Script-Syloti-Nagri,design-question"
624,1471,False,2019-03-19 09:30:59+00:00,,guocuozuoduo,Script-Lao
625,1470,True,2019-03-14 11:19:29+00:00,2020-05-21 12:53:18+00:00,r12a,Script-Georgian
626,1469,False,2019-03-11 11:29:43+00:00,,stone-zeng,Script-EgyptianHieroglyphs
627,1468,False,2019-03-07 17:46:35+00:00,,kcohar,"Script-Symbol,app-dependent-behavior"
628,1467,False,2019-03-06 03:05:24+00:00,,ghost,"Script-LatinGreekCyrillic,Script-Monospace,Type-Enhancement"
629,1466,True,2019-03-04 02:26:51+00:00,2019-03-05 05:39:57+00:00,hechangjiu,Script-CJK
630,1465,True,2019-03-02 22:43:53+00:00,2020-07-02 18:39:31+00:00,JonWFergus,"Platform-Windows,Script-LatinGreekCyrillic"
631,1464,False,2019-03-01 22:00:19+00:00,,dscorbett,Script-Siddham
632,1463,False,2019-03-01 03:01:27+00:00,,dscorbett,"Script-Monospace,Type-Enhancement"
633,1462,True,2019-02-28 18:22:42+00:00,2019-03-01 18:07:10+00:00,ghost,Script-OldHungarian
634,1461,True,2019-02-28 18:13:05+00:00,2019-02-28 18:14:22+00:00,ghost,
635,1460,True,2019-02-27 22:03:56+00:00,2020-06-20 05:54:35+00:00,dscorbett,Script-Malayalam
636,1459,True,2019-02-26 20:24:11+00:00,2019-05-18 05:12:21+00:00,dscorbett,Script-Malayalam
637,1458,False,2019-02-25 20:26:56+00:00,,dscorbett,"Script-Brahmi,wrong glyph(s)"
638,1457,True,2019-02-25 00:29:27+00:00,2019-10-02 23:52:44+00:00,dscorbett,Script-Devanagari
639,1456,False,2019-02-23 20:44:42+00:00,,dscorbett,Script-Khojki
640,1455,False,2019-02-22 19:58:51+00:00,,dscorbett,"Script-Gurmukhi,in-evaluation"
641,1454,True,2019-02-21 21:25:36+00:00,2020-03-10 21:24:33+00:00,dscorbett,Script-Gurmukhi
642,1453,False,2019-02-20 21:37:56+00:00,,dscorbett,Script-MeroiticCursive
643,1452,True,2019-02-19 21:22:08+00:00,2020-06-22 22:07:47+00:00,robert-ross,
644,1451,False,2019-02-19 20:04:59+00:00,,dscorbett,"Script-MeroiticCursive,Script-MeroiticHieroglyphs"
645,1450,False,2019-02-18 22:54:08+00:00,,dscorbett,Script-Math
646,1449,False,2019-02-17 23:16:54+00:00,,dscorbett,"Script-Symbol,in-evaluation"
647,1448,True,2019-02-16 15:09:38+00:00,2019-05-18 03:39:30+00:00,dscorbett,Script-Math
648,1447,True,2019-02-15 17:46:47+00:00,2019-05-18 03:07:58+00:00,dscorbett,Script-Math
649,1446,False,2019-02-14 17:17:01+00:00,,dscorbett,Script-Math
650,1445,False,2019-02-14 16:59:42+00:00,,cssobral2013,"Script-LatinGreekCyrillic,Type-Enhancement,in-evaluation"
651,1444,False,2019-02-13 17:45:25+00:00,,dscorbett,"Script-Math,design-question"
652,1443,False,2019-02-12 19:41:31+00:00,,dscorbett,"Script-Math,Type-Enhancement"
653,1442,False,2019-02-11 17:08:48+00:00,,dscorbett,Script-Math
654,1441,True,2019-02-10 23:03:42+00:00,2019-05-18 02:23:34+00:00,dscorbett,Script-Math
655,1440,True,2019-02-10 08:20:57+00:00,2019-02-27 17:45:54+00:00,ghost,Script-OldHungarian
656,1439,False,2019-02-09 17:00:25+00:00,,dscorbett,"Script-Math,Type-Enhancement"
657,1438,False,2019-02-08 19:56:13+00:00,,dscorbett,"Script-Monospace,wrong glyph(s)"
658,1437,True,2019-02-07 17:05:34+00:00,2019-05-18 02:23:19+00:00,dscorbett,Script-Math
659,1436,False,2019-02-06 16:25:01+00:00,,dscorbett,Script-Math
660,1435,True,2019-02-05 15:40:20+00:00,2019-05-18 03:23:15+00:00,dscorbett,Script-Math
661,1434,True,2019-02-04 19:29:14+00:00,2019-05-18 02:26:34+00:00,dscorbett,Script-Math
662,1433,True,2019-02-03 21:57:59+00:00,2019-11-01 20:13:54+00:00,dscorbett,Script-Kaithi
663,1432,True,2019-02-03 00:28:06+00:00,2019-11-01 20:14:26+00:00,dscorbett,Script-Kaithi
664,1431,False,2019-02-01 19:08:19+00:00,,dscorbett,"Script-LatinGreekCyrillic,design-question,in-evaluation,wrong glyph(s)"
665,1430,True,2019-01-30 14:38:28+00:00,2020-06-17 05:03:31+00:00,mnavada,Script-Kannada
666,1429,True,2019-01-28 22:07:59+00:00,2019-09-19 01:17:13+00:00,vinodvar,
667,1428,False,2019-01-22 08:14:16+00:00,,silentmage,"Script-PahawhHmong,Type-Enhancement"
668,1427,False,2019-01-20 05:20:27+00:00,,bennylin,Script-Javanese
669,1426,True,2019-01-18 18:52:05+00:00,2019-01-20 01:57:49+00:00,bennylin,
670,1425,False,2019-01-18 15:42:02+00:00,,bennylin,"Script-Javanese,wrong glyph(s)"
671,1424,False,2019-01-15 23:46:58+00:00,,cssobral2013,"Script-LatinGreekCyrillic,Type-Enhancement"
672,1423,False,2019-01-13 13:29:03+00:00,,Azzert,"Script-LatinGreekCyrillic,in-evaluation"
673,1422,False,2019-01-10 15:21:55+00:00,,Sagir8453,"Script-Bengali,Script-Tirhuta,Type-Enhancement,in-evaluation,non-Traditional"
674,1421,False,2019-01-10 14:49:28+00:00,,fketchakeu,"Script-Monospace,Type-Enhancement"
675,1420,False,2019-01-10 14:44:18+00:00,,fketchakeu,"Script-Monospace,Type-Enhancement"
676,1419,False,2019-01-08 21:13:22+00:00,,NeilSureshPatel,"Script-N'Ko,Type-Enhancement,Unicode-11"
677,1418,True,2018-12-26 21:56:47+00:00,2020-07-06 20:21:44+00:00,ousia,"Script-LatinGreekCyrillic,Type-Enhancement"
678,1417,False,2018-12-23 03:56:10+00:00,,mahalisyarifuddin,Script-Javanese
679,1416,False,2018-12-20 23:11:31+00:00,,madig,"Script-LatinGreekCyrillic,Script-Monospace,Type-Enhancement,design-question,in-evaluation"
680,1415,False,2018-12-20 17:44:43+00:00,,thomassuckow,"Script-Symbol,in-evaluation"
681,1414,False,2018-12-20 01:04:43+00:00,,dscorbett,"Script-Mongolian,design-question,wrong glyph(s)"
682,1413,False,2018-12-19 09:57:51+00:00,,mahalisyarifuddin,Script-Javanese
683,1412,False,2018-12-19 07:13:12+00:00,,NorbertLindenberg,Script-Javanese
684,1411,True,2018-12-18 15:32:52+00:00,2018-12-18 16:04:03+00:00,adtbayuperdana,
685,1410,False,2018-12-13 19:03:23+00:00,,dscorbett,"Script-Tibetan,StylisticChoice"
686,1409,True,2018-12-12 17:25:46+00:00,2019-06-13 19:54:40+00:00,dscorbett,Script-Tibetan
687,1408,False,2018-12-10 19:59:02+00:00,,dscorbett,Script-Kaithi
688,1407,False,2018-12-09 18:39:17+00:00,,alercah,"ArimoTinosCousine,in-evaluation"
689,1406,False,2018-12-07 15:56:18+00:00,,dscorbett,"Script-LatinGreekCyrillic,Type-Enhancement,in-evaluation"
690,1405,True,2018-12-06 21:35:39+00:00,2019-04-23 19:09:48+00:00,dscorbett,Script-Tirhuta
691,1404,False,2018-12-06 00:47:33+00:00,,colemickens,Script-Monospace
692,1403,True,2018-12-05 22:30:30+00:00,2019-04-23 19:08:36+00:00,dscorbett,Script-Tirhuta
693,1402,True,2018-12-05 00:46:13+00:00,2019-03-20 19:07:12+00:00,dscorbett,"Script-Sharada,wrong glyph(s)"
694,1401,False,2018-12-04 13:21:33+00:00,,Sagir8453,Script-Syloti-Nagri
695,1400,False,2018-12-04 12:20:38+00:00,,Sagir8453,Script-Syloti-Nagri
696,1399,True,2018-12-03 19:41:10+00:00,2019-11-01 20:15:28+00:00,dscorbett,Script-Kaithi
697,1398,True,2018-12-02 19:40:50+00:00,2019-11-01 20:16:00+00:00,dscorbett,Script-Kaithi
698,1397,False,2018-12-01 16:10:17+00:00,,dscorbett,Script-Grantha
699,1396,True,2018-11-30 15:50:12+00:00,2019-02-23 10:50:09+00:00,dscorbett,Script-Khojki
700,1395,True,2018-11-29 15:35:33+00:00,2020-07-02 19:54:14+00:00,dscorbett,Script-LatinGreekCyrillic
701,1394,False,2018-11-28 18:41:48+00:00,,dscorbett,Script-CaucasianAlbanian
702,1393,False,2018-11-27 18:37:00+00:00,,Tsengtsz,"Script-Deseret,wrong glyph(s)"
703,1392,True,2018-11-27 16:42:25+00:00,2021-03-31 08:55:08+00:00,dscorbett,"Script-LatinGreekCyrillic,in-evaluation,wrong glyph(s)"
704,1391,True,2018-11-26 19:08:55+00:00,2020-07-02 23:07:25+00:00,dscorbett,"Script-LatinGreekCyrillic,wrong glyph(s)"
705,1390,True,2018-11-25 17:45:20+00:00,2019-03-20 19:07:59+00:00,dscorbett,Script-Sharada
706,1389,True,2018-11-24 14:10:15+00:00,2019-03-20 19:08:35+00:00,dscorbett,Script-Sharada
707,1388,False,2018-11-23 15:58:27+00:00,,dscorbett,"Script-Sharada,StylisticChoice,wrong glyph(s)"
708,1387,True,2018-11-22 13:57:35+00:00,2019-03-20 19:09:11+00:00,dscorbett,Script-Sharada
709,1386,False,2018-11-21 20:28:18+00:00,,dscorbett,Script-Sharada
710,1385,True,2018-11-20 19:09:22+00:00,2020-03-26 17:50:11+00:00,dscorbett,Script-Bhaiksuki
711,1384,False,2018-11-20 03:43:20+00:00,,dscorbett,Script-Grantha
712,1383,False,2018-11-16 20:41:38+00:00,,dscorbett,Script-Elbasan
713,1382,False,2018-11-16 04:52:01+00:00,,zenodotus,"Script-BassaVah,design-question"
714,1381,False,2018-11-16 00:53:20+00:00,,dscorbett,Script-Grantha
715,1380,True,2018-11-15 13:38:25+00:00,2018-12-04 06:04:04+00:00,davelab6,
716,1379,True,2018-11-14 20:32:15+00:00,2019-05-16 17:02:33+00:00,dscorbett,Script-Newa
717,1378,True,2018-11-13 15:47:34+00:00,2021-02-19 13:45:39+00:00,dscorbett,Script-Bhaiksuki
718,1377,True,2018-11-12 18:22:55+00:00,2019-05-16 17:12:30+00:00,dscorbett,Script-Newa
719,1376,False,2018-11-12 06:06:33+00:00,,phyllisstein,Script-Monospace
720,1375,False,2018-11-11 17:38:48+00:00,,dscorbett,Script-Bhaiksuki
721,1374,True,2018-11-10 22:03:41+00:00,2021-04-12 19:36:43+00:00,dscorbett,Script-OldHungarian
722,1373,False,2018-11-09 23:59:55+00:00,,dscorbett,"Script-Sharada,StylisticChoice"
723,1372,True,2018-11-08 19:39:23+00:00,2019-03-20 19:03:33+00:00,dscorbett,Script-Ahom
724,1371,True,2018-11-08 04:20:24+00:00,2018-11-08 17:50:37+00:00,jungshik,Script-Arabic
725,1370,True,2018-11-07 21:53:41+00:00,2019-05-16 17:32:37+00:00,dscorbett,Script-Newa
726,1369,False,2018-11-05 16:04:25+00:00,,Pomax,Noto-Process-Issue
727,1368,False,2018-11-04 22:34:37+00:00,,dscorbett,"Script-CypriotSyllabary,Script-LinearA"
728,1367,False,2018-11-03 15:34:56+00:00,,dscorbett,"Script-Ethiopic,wrong glyph(s)"
729,1366,False,2018-11-02 20:26:40+00:00,,dscorbett,Script-NewTaiLue
730,1365,False,2018-11-02 01:11:58+00:00,,dscorbett,Script-Runic
731,1364,True,2018-10-31 23:08:01+00:00,2021-04-12 19:36:44+00:00,dscorbett,Script-OldHungarian
732,1363,False,2018-10-30 19:02:43+00:00,,dscorbett,Script-Elbasan
733,1362,False,2018-10-29 20:55:20+00:00,,dscorbett,Script-Elbasan
734,1361,True,2018-10-28 16:10:19+00:00,2019-03-20 19:03:04+00:00,dscorbett,"Script-Ahom,wrong glyph(s)"
735,1360,True,2018-10-26 23:29:21+00:00,2019-03-20 19:04:14+00:00,dscorbett,"Script-Ahom,wrong glyph(s)"
736,1359,True,2018-10-25 19:44:46+00:00,2019-03-20 19:05:49+00:00,dscorbett,Script-Ahom
737,1358,True,2018-10-25 00:02:51+00:00,2019-03-20 19:06:43+00:00,dscorbett,Script-Ahom
738,1357,True,2018-10-24 21:35:56+00:00,2018-10-25 16:00:18+00:00,ghost,
739,1356,False,2018-10-24 01:49:05+00:00,,zeerakahmed,"Nastaliq,Script-Arabic,app-dependent-behavior"
740,1355,False,2018-10-23 20:46:00+00:00,,sven-oly,Script-Myanmar
741,1354,False,2018-10-23 18:23:44+00:00,,dscorbett,Script-Chakma
742,1353,False,2018-10-22 21:58:51+00:00,,EricEnglert,"Nastaliq,Script-Arabic"
743,1352,False,2018-10-22 21:52:06+00:00,,dscorbett,"Script-Modi,design-question,in-evaluation"
744,1351,True,2018-10-21 23:55:08+00:00,2018-10-22 21:25:52+00:00,dscorbett,
745,1350,False,2018-10-21 23:40:16+00:00,,dscorbett,"Script-LatinGreekCyrillic,Script-TaiViet,in-evaluation"
746,1349,False,2018-10-21 01:09:53+00:00,,dscorbett,Script-TaiViet
747,1348,False,2018-10-20 02:57:24+00:00,,minkyuxyz,Script-Phagspa
748,1347,False,2018-10-20 00:10:17+00:00,,dscorbett,Script-Glagolitic
749,1346,True,2018-10-18 20:54:32+00:00,2021-02-09 21:51:19+00:00,dscorbett,Script-Arabic
750,1345,True,2018-10-17 15:45:16+00:00,2019-06-13 19:55:19+00:00,dscorbett,Script-Tibetan
751,1344,True,2018-10-16 22:59:08+00:00,2019-06-13 19:56:02+00:00,dscorbett,Script-Tibetan
752,1343,True,2018-10-15 23:24:02+00:00,2019-06-13 19:56:44+00:00,dscorbett,Script-Tibetan
753,1342,False,2018-10-14 22:38:07+00:00,,dscorbett,"Script-LatinGreekCyrillic,in-evaluation"
754,1341,True,2018-10-14 14:07:23+00:00,2020-06-17 05:12:27+00:00,sridatta1,Script-Kannada
755,1340,True,2018-10-14 13:17:38+00:00,2020-05-17 10:13:13+00:00,sridatta1,Script-Kannada
756,1339,True,2018-10-13 23:34:32+00:00,2019-06-13 19:57:49+00:00,dscorbett,Script-Tibetan
757,1338,True,2018-10-13 15:34:46+00:00,2019-04-23 19:08:02+00:00,sridatta1,Script-Tirhuta
758,1337,True,2018-10-13 01:33:35+00:00,2019-06-13 19:58:22+00:00,dscorbett,Script-Tibetan
759,1336,False,2018-10-12 08:08:03+00:00,,adtbayuperdana,Script-Balinese
760,1335,False,2018-10-12 07:48:44+00:00,,adtbayuperdana,Script-Balinese
761,1334,False,2018-10-12 07:35:39+00:00,,adtbayuperdana,Script-Balinese
762,1333,True,2018-10-12 00:25:03+00:00,2019-03-20 19:09:45+00:00,dscorbett,Script-Sharada
763,1332,False,2018-10-11 09:06:51+00:00,,ThomBaker,"Script-LatinGreekCyrillic,in-evaluation"
764,1331,False,2018-10-10 22:21:31+00:00,,dscorbett,Script-Takri
765,1330,False,2018-10-10 13:53:02+00:00,,gschervish,WebFonts
766,1329,True,2018-10-10 00:17:36+00:00,2019-04-23 19:05:31+00:00,dscorbett,Script-Tirhuta
767,1328,False,2018-10-08 18:20:08+00:00,,davelab6,"Script-LatinGreekCyrillic,in-evaluation"
768,1327,False,2018-10-08 14:57:33+00:00,,dscorbett,"Script-LatinGreekCyrillic,Type-Enhancement,in-evaluation"
769,1326,False,2018-10-07 16:23:34+00:00,,dscorbett,Script-Cham
770,1325,True,2018-10-06 15:49:35+00:00,2021-05-31 16:32:07+00:00,sridatta1,Script-Grantha
771,1324,True,2018-10-06 15:38:41+00:00,2021-05-31 16:33:11+00:00,sridatta1,Script-Grantha
772,1323,False,2018-10-06 13:51:23+00:00,,dscorbett,Script-Cham
773,1322,False,2018-10-06 03:09:36+00:00,,dscorbett,Script-Grantha
774,1321,False,2018-10-04 13:27:30+00:00,,dscorbett,Script-Grantha
775,1320,False,2018-10-03 16:22:34+00:00,,dscorbett,Script-Grantha
776,1319,True,2018-10-03 14:10:06+00:00,2020-06-18 16:04:26+00:00,sridatta1,Script-Grantha
777,1318,False,2018-10-03 12:57:16+00:00,,sridatta1,Script-Grantha
778,1317,False,2018-10-02 21:30:05+00:00,,dscorbett,"Script-Grantha,wrong glyph(s)"
779,1316,True,2018-10-02 04:45:24+00:00,2021-05-31 16:34:15+00:00,sridatta1,Script-Grantha
780,1315,False,2018-10-01 19:03:13+00:00,,dscorbett,Script-Sharada
781,1314,True,2018-10-01 10:19:38+00:00,2018-10-08 16:51:35+00:00,kyungsik8090,Script-CJK
782,1313,False,2018-09-30 13:22:14+00:00,,dscorbett,Script-Music
783,1312,False,2018-09-30 01:07:17+00:00,,dscorbett,Script-Music
784,1311,False,2018-09-29 03:03:37+00:00,,dscorbett,"Script-Music,design-question,wrong glyph(s)"
785,1310,False,2018-09-28 02:33:16+00:00,,dscorbett,"Script-Music,wrong glyph(s)"
786,1309,False,2018-09-26 13:47:13+00:00,,dscorbett,"Script-Modi,design-question,in-evaluation"
787,1308,True,2018-09-25 13:56:27+00:00,2020-06-01 17:36:42+00:00,dscorbett,Script-WarangCiti
788,1307,False,2018-09-24 13:43:50+00:00,,dscorbett,"Script-Multani,wrong glyph(s)"
789,1306,True,2018-09-24 06:11:16+00:00,2021-02-19 13:40:44+00:00,punchcutter,Script-Bhaiksuki
790,1305,True,2018-09-24 01:29:17+00:00,2020-07-13 21:02:29+00:00,einemarc,"Script-LatinGreekCyrillic,app-dependent-behavior"
791,1304,False,2018-09-23 15:41:52+00:00,,dscorbett,Script-PsalterPahlavi
792,1303,True,2018-09-23 13:51:05+00:00,2020-06-22 22:08:54+00:00,jeffmcneill,
793,1302,True,2018-09-22 14:00:05+00:00,2021-03-30 15:00:13+00:00,dscorbett,Script-Miao
794,1301,True,2018-09-21 14:43:48+00:00,2019-02-13 01:53:07+00:00,dscorbett,"Script-Math,wrong glyph(s)"
795,1300,True,2018-09-20 13:40:06+00:00,2019-05-18 02:30:31+00:00,dscorbett,"Script-Math,wrong glyph(s)"
796,1299,True,2018-09-19 13:56:58+00:00,2019-02-13 02:52:08+00:00,dscorbett,"Script-Math,wrong glyph(s)"
797,1298,True,2018-09-18 16:45:51+00:00,2019-05-18 03:41:49+00:00,dscorbett,Script-Math
